operationDate,srf_billion
2025-09-25,0.0
2025-09-26,0.0
2025-09-29,0.0
2025-09-30,0.0
2025-10-01,0.0
2025-10-02,0.0
2025-10-03,0.0
2025-10-06,0.0
2025-10-07,0.0
2025-10-08,0.097
2025-10-09,0.0
2025-10-10,0.0
2025-10-14,0.0
2025-10-15,6.75
2025-10-16,8.35
2025-10-17,0.0
2025-10-20,0.001
2025-10-21,3.0
2025-10-22,0.001
2025-10-23,3.003
2025-10-24,0.0
2025-10-27,8.4
2025-10-28,7.753
2025-10-29,10.233
2025-10-30,2.2
2025-10-31,20.35
2025-11-03,14.75
2025-11-04,2.8
2025-11-05,0.099
2025-11-06,0.001
2025-11-07,2.0
2025-11-10,0.003
2025-11-12,6.052
2025-11-13,3.9
2025-11-14,0.013
2025-11-17,2.551
2025-11-18,0.0
2025-11-19,0.0
2025-11-20,0.0
2025-11-21,0.0
2025-11-24,0.0
2025-11-25,10.6
2025-11-26,14.0
2025-11-28,24.4
